"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6501M00050000","R-10","R - Single Family/Cabin","909  GENERAL HOWE DR","Westtown",1998,"1991 or Later","1991-2000"
"6501M00060000","R-10","R - Single Family/Cabin","907  GENERAL HOWE DR","Westtown",1961,"Before 1991","1961-1970"
"6501M00110000","R-10","R - Single Family/Cabin","906  GENERAL HOWE DR","Westtown",1968,"Before 1991","1961-1970"
"6501M00120000","R-10","R - Single Family/Cabin","908  GENERAL HOWE DR","Westtown",1966,"Before 1991","1961-1970"
"6501M00130000","R-10","R - Single Family/Cabin","905  GENERAL HOWE DR","Westtown",1968,"Before 1991","1961-1970"
"6502 00010500","R-10","R - Single Family/Cabin","988 E REGIMENTAL DR","Westtown",1996,"1991 or Later","1991-2000"
"6502 00010600","R-10","R - Single Family/Cabin","986 E REGIMENTAL DR","Westtown",2000,"1991 or Later","1991-2000"
"6502 00031300","R-10","R - Single Family/Cabin","1052  CEDAR MILL RD","Westtown",1995,"1991 or Later","1991-2000"
"6502 00130000","R-10","R - Single Family/Cabin","934  STONEY RUN DR","Westtown",1996,"1991 or Later","1991-2000"
"6502 00140000","R-10","R - Single Family/Cabin","938  STONEY RUN DR","Westtown",1997,"1991 or Later","1991-2000"
"6502 00160000","R-10","R - Single Family/Cabin","939  STONEY RUN DR","Westtown",1997,"1991 or Later","1991-2000"
"6504 00040100","R-10","R - Single Family/Cabin","1107  DANIEL DAVIS LN","Westtown",1979,"Before 1991","1971-1980"
"6504 00040900","R-10","R - Single Family/Cabin","1112  DANIEL DAVIS LN","Westtown",1987,"Before 1991","1981-1990"
"6701 00010000","R-10","R - Single Family/Cabin","901 S CONCORD RD","Westtown",1970,"Before 1991","1961-1970"
"6701 00010100","R-10","R - Single Family/Cabin","903 S CONCORD RD","Westtown",1984,"Before 1991","1981-1990"
"6701 00020000","R-10","R - Single Family/Cabin","708  LITTLE SHILOH RD","Westtown",1973,"Before 1991","1971-1980"
"6701 00030100","R-10","R - Single Family/Cabin","909  THORNE DR","Westtown",1961,"Before 1991","1961-1970"
"6701 000302A0","R-10","R - Single Family/Cabin","903  THORNE DR","Westtown",1984,"Before 1991","1981-1990"
"6701 000302B0","R-10","R - Single Family/Cabin","901  THORNE DR","Westtown",1984,"Before 1991","1981-1990"
"6701 000302C0","R-10","R - Single Family/Cabin","905  THORNE DR","Westtown",1984,"Before 1991","1981-1990"
"6701 000302D0","R-10","R - Single Family/Cabin","907  THORNE DR","Westtown",1984,"Before 1991","1981-1990"
"6701 000302E0","R-10","R - Single Family/Cabin","906  SPRINGVIEW CRT","Westtown",1984,"Before 1991","1981-1990"
"6701 000302F0","R-10","R - Single Family/Cabin","908  SPRINGVIEW CRT","Westtown",1984,"Before 1991","1981-1990"
"6701 000302G0","R-10","R - Single Family/Cabin","910  SPRINGVIEW CRT","Westtown",1984,"Before 1991","1981-1990"
"6701 000302H0","R-10","R - Single Family/Cabin","912  SPRINGVIEW CRT","Westtown",1984,"Before 1991","1981-1990"
"6701 000302J0","R-10","R - Single Family/Cabin","914  SPRINGVIEW CRT","Westtown",1984,"Before 1991","1981-1990"
"6701 000302L0","R-10","R - Single Family/Cabin","916  THORNE DR","Westtown",1984,"Before 1991","1981-1990"
"6701 000302M0","R-10","R - Single Family/Cabin","917  THORNE DR","Westtown",1984,"Before 1991","1981-1990"
"6701 000302N0","R-10","R - Single Family/Cabin","922  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 000302P0","R-10","R - Single Family/Cabin","926  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00030300","R-10","R - Single Family/Cabin","919  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00030400","R-10","R - Single Family/Cabin","921  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00030500","R-10","R - Single Family/Cabin","923  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00030600","R-10","R - Single Family/Cabin","925  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00030700","R-10","R - Single Family/Cabin","927  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00030800","R-10","R - Single Family/Cabin","928  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00030900","R-10","R - Single Family/Cabin","929  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031000","R-10","R - Single Family/Cabin","931  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031100","R-10","R - Single Family/Cabin","933  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031200","R-10","R - Single Family/Cabin","934  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031300","R-10","R - Single Family/Cabin","937  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031400","R-10","R - Single Family/Cabin","939  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031500","R-10","R - Single Family/Cabin","940  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031600","R-10","R - Single Family/Cabin","941  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031700","R-10","R - Single Family/Cabin","942  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031800","R-10","R - Single Family/Cabin","943  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00031900","R-10","R - Single Family/Cabin","944  THORNE DR","Westtown",1985,"Before 1991","1981-1990"
"6701 00040100","R-10","R - Single Family/Cabin","802 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040200","R-10","R - Single Family/Cabin","800 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040300","R-10","R - Single Family/Cabin","803 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040400","R-10","R - Single Family/Cabin","801 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040500","R-10","R - Single Family/Cabin","805 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040600","R-10","R - Single Family/Cabin","807 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040700","R-10","R - Single Family/Cabin","809 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040800","R-10","R - Single Family/Cabin","811 E SAGE RD","Westtown",1981,"Before 1991","1981-1990"
"6701 00040900","R-10","R - Single Family/Cabin","813 E SAGE RD","Westtown",1983,"Before 1991","1981-1990"
"6701 00041000","R-10","R - Single Family/Cabin","815 E SAGE RD","Westtown",1984,"Before 1991","1981-1990"
"6701 00041100","R-10","R - Single Family/Cabin","817 E SAGE RD","Westtown",1984,"Before 1991","1981-1990"
"6701 00041200","R-10","R - Single Family/Cabin","819 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00041300","R-10","R - Single Family/Cabin","821 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00041400","R-10","R - Single Family/Cabin","823 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00041500","R-10","R - Single Family/Cabin","825 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00041600","R-10","R - Single Family/Cabin","827 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00041700","R-10","R - Single Family/Cabin","829 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00041800","R-10","R - Single Family/Cabin","831 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00041900","R-10","R - Single Family/Cabin","833 E SAGE RD","Westtown",1984,"Before 1991","1981-1990"
"6701 00042000","R-10","R - Single Family/Cabin","835 E SAGE RD","Westtown",1984,"Before 1991","1981-1990"
"6701 00042100","R-10","R - Single Family/Cabin","925  SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00042200","R-10","R - Single Family/Cabin","927  SAGE RD","Westtown",1986,"Before 1991","1981-1990"
"6701 00042300","R-10","R - Single Family/Cabin","929  SAGE RD","Westtown",1985,"Before 1991","1981-1990"
"6701 00042400","R-10","R - Single Family/Cabin","931  SAGE RD","Westtown",1986,"Before 1991","1981-1990"
"6701 00042500","R-10","R - Single Family/Cabin","832 E SAGE RD","Westtown",1985,"Before 1991","1981-1990"
