"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"4309Q00070000","R-10","R - Single Family/Cabin","17  WISTAR RD","Willistown",1931,"Before 1991","1950 or older"
"5401 00010000","R-90","A - Apt Complex (20 or more units","311  LANCASTER AVE","Willistown",1997,"1991 or Later","1991-2000"
"5401 00010000","R-90","A - Apt Complex (20 or more units","311  LANCASTER AVE","Willistown",1997,"1991 or Later","1991-2000"
"5401 00010000","R-90","A - Apt Complex (20 or more units","311  LANCASTER AVE","Willistown",1997,"1991 or Later","1991-2000"
"5401 00010000","R-90","A - Apt Complex (20 or more units","311  LANCASTER AVE","Willistown",1997,"1991 or Later","1991-2000"
"5401 00150000","R-90","A - Apt Complex (20 or more units","324  LANCASTER AVE","Willistown",1998,"1991 or Later","1991-2000"
"5401 00170000","R-10","R - Single Family/Cabin","346  CENTRAL AVE","Willistown",1900,"Before 1991","1950 or older"
"5401 00180000","R-10","R - Single Family/Cabin","344  CENTRAL AVE","Willistown",1900,"Before 1991","1950 or older"
"5401 00190000","R-61","C - Dwelling W/Comm Use Primary C","342 W CENTRAL AVE","Willistown",1980,"Before 1991","1971-1980"
"5401 00220000","R-60","R - Dwelling W/Comm Use Primary R","334 W CENTRAL AVE","Willistown",1947,"Before 1991","1950 or older"
"5401 00230000","R-10","R - Single Family/Cabin","332 W CENTRAL AVE","Willistown",1900,"Before 1991","1950 or older"
"5401 00300000","R-10","R - Single Family/Cabin","58  DEVON RD","Willistown",1958,"Before 1991","1951-1960"
"5401 00310100","R-10","R - Single Family/Cabin","60  DEVON RD","Willistown",1958,"Before 1991","1951-1960"
"5401 00320000","R-10","R - Single Family/Cabin","64  DEVON RD","Willistown",2008,"1991 or Later","2001-2010"
"5401 00320100","R-10","R - Single Family/Cabin","68  DEVON RD","Willistown",2012,"1991 or Later","2011-2022"
"5401 00330000","R-10","R - Single Family/Cabin","7  FAGGS MANOR LN","Willistown",1965,"Before 1991","1961-1970"
"5401 00330100","R-10","R - Single Family/Cabin","3  FAGGS MANOR LN","Willistown",1965,"Before 1991","1961-1970"
"5401 00330200","R-10","R - Single Family/Cabin","4  FAGGS MANOR LN","Willistown",1965,"Before 1991","1961-1970"
"5401 00330300","R-10","R - Single Family/Cabin","2  FAGGS MANOR LN","Willistown",1966,"Before 1991","1961-1970"
"5401 00330400","R-10","R - Single Family/Cabin","5  FAGGS MANOR LN","Willistown",1966,"Before 1991","1961-1970"
"5401 00330500","R-10","R - Single Family/Cabin","6  FAGGS MANOR LN","Willistown",1966,"Before 1991","1961-1970"
"5401 00330600","R-10","R - Single Family/Cabin","1  FAGGS MANOR LN","Willistown",1966,"Before 1991","1961-1970"
